File 	Id Model	 Size 	 #Facets 	 Surface 	 Volume 	 Width (original) 	 Height (original) 	 Depth (original) 	 Vol of Envelope (original) 	 MBB-orientation 	 MBB-dimensions 	 volume-MBB 	 Spies-ratio 	 MCV 	 V-value 	 Valentan 	 Time
PartType_146.STL	146	2501284	50024	43705.58	160518.14	142.81	162.5	20.6	478127.54	[0°,0°,0°]	[142.81x162.50x20.60]	478127.54	0.336	0.894	0.106	13620.44	85746.97
PartType_147.STL	147	442084	8840	71127.07	209441.91	133.85	179.04	28.29	678036.42	[0°,0°,0°]	[133.85x179.04x28.29]	678036.42	0.309	0.507	0.219	3002.09	3006.27
PartType_148.STL	148	164084	3280	31073.99	86748.5	93	121.18	26.58	299537.59	[0°,0°,0°]	[93.00x121.18x26.58]	299537.59	0.290	0.390	0.132	1174.92	347.98
PartType_149.STL	149	256084	5120	23747.94	43780.43	63.31	112.86	43.46	310529.28	[0°,0°,0°]	[63.31x112.86x43.46]	310529.28	0.141	0.097	0.025	2777.26	1101.66
PartType_150.STL	150	256184	5122	18812.21	30868.83	56.35	100.45	38.68	218930.05	[0°,0°,0°]	[56.35x100.45x38.68]	218930.05	0.141	0.097	0.025	3121.47	1024.65
PartType_151.STL	151	34884	696	60676.05	388654.18	129.24	151.44	78.36	1533805.77	[0°,0°,0°]	[129.24x151.44x78.36]	1533805.77	0.253	0.388	0.124	108.66	212.51
PartType_152.STL	152	34484	688	61618.34	400106.09	140.32	151.44	78.36	1665302.64	[0°,0°,0°]	[140.32x151.44x78.36]	1665302.64	0.240	0.388	0.130	105.96	231.24
PartType_153.STL	153	126784	2534	72186.68	520805.27	190.65	147.56	28.29	795871.75	[0°,0°,0°]	[190.65x147.56x28.29]	795871.75	0.654	0.525	0.168	351.23	292.39
PartType_154.STL	154	126784	2534	72186.68	520805.27	190.65	147.56	28.29	795871.81	[0°,0°,0°]	[190.65x147.56x28.29]	795871.81	0.654	0.532	0.180	351.23	276.68
PartType_155.STL	155	106284	2124	99384.55	827116.38	171.92	144.16	95.32	2362547.34	[0°,0°,0°]	[171.92x144.16x95.32]	2362547.34	0.350	0.452	0.191	255.22	446.23
PartType_156.STL	156	106484	2128	100030.06	839926.47	183.02	143.5	95.32	2503475.67	[0°,0°,0°]	[183.02x143.50x95.32]	2503475.67	0.336	0.466	0.188	253.43	354.55
PartType_157.STL	157	41284	824	45241.45	247876.2	180.42	179.1	22.66	732336.48	[270°,300°,0°]	[117.71x22.66x191.54]	510963.83	0.485	0.532	0.167	150.39	79.88
PartType_158.STL	158	41284	824	46347.74	260287.75	180.43	179.14	22.66	732515.04	[0°,0°,0°]	[180.43x179.14x22.66]	732515.04	0.355	0.528	0.161	146.72	82.85
PartType_159.STL	159	186384	3726	88886.91	607217.09	169.57	125.54	136.49	2905491.03	[0°,0°,0°]	[169.57x125.54x136.49]	2905491.03	0.209	0.398	0.161	545.43	716.72
PartType_160.STL	160	186384	3726	89438.07	614792.72	180.73	125.54	136.49	3096794.71	[0°,180°,84°]	[115.07x191.25x136.49]	3003860.52	0.205	0.417	0.155	542.05	647.86
PartType_161.STL	161	141884	2836	42911.99	98950.23	80.93	97	108.79	854063.23	[183°,180°,270°]	[96.07x80.93x109.22]	849138.98	0.117	0.308	0.113	1229.90	472.86
PartType_162.STL	162	327184	6542	46657.05	138156.49	175.18	167.58	48.17	1414132.8	[90°,218°,270°]	[48.17x200.31x122.72]	1184169.88	0.117	0.216	0.078	2209.31	1657.60
PartType_163.STL	163	327184	6542	46657.05	138156.55	175.18	167.58	48.17	1414132.8	[0°,0°,52°]	[122.72x200.31x48.17]	1184170.34	0.117	0.221	0.084	2209.31	1525.01
PartType_164.STL	164	24784	494	7606.96	20653.37	105.49	30.13	18.78	59707.75	[0°,0°,0°]	[105.49x30.13x18.78]	59707.75	0.346	0.510	0.095	181.95	16.37
PartType_165.STL	165	178384	3566	23688.1	109011.76	60.08	59.84	113.35	407546.55	[90°,151°,0°]	[59.77x113.35x60.09]	407113.37	0.268	0.364	0.098	774.89	411.57
PartType_166.STL	166	24084	480	22993.83	69605.18	126.2	122.48	28	432858.45	[0°,0°,0°]	[126.20x122.48x28.00]	432858.45	0.161	0.259	0.086	158.57	44.60
PartType_167.STL	167	29984	598	35826.17	141127.89	80.86	137.46	86.26	958807.41	[0°,0°,0°]	[80.86x137.46x86.26]	958807.41	0.147	0.264	0.071	151.81	61.44
PartType_168.STL	168	105184	2102	19735.96	68703.46	63.99	64	49.25	201698.73	[3°,270°,183°]	[49.25x64.00x63.99]	201698.71	0.341	0.341	0.088	603.83	823.89
PartType_169.STL	169	63484	1268	9830.8	21976.18	44.35	47.63	110.62	233649.73	[0°,0°,0°]	[44.35x47.63x110.62]	233649.73	0.094	0.339	0.162	567.23	51.04
PartType_170.STL	170	41684	832	50445.15	211183	138.43	120.87	50.56	846079.58	[0°,0°,0°]	[138.43x120.87x50.56]	846079.58	0.250	0.343	0.157	198.74	149.26
PartType_171.STL	171	349684	6992	64200.95	218977.97	91	80.22	173.03	1263127.36	[87°,5°,90°]	[174.11x90.88x76.78]	1214921.87	0.180	0.336	0.071	2049.95	1640.89
PartType_172.STL	172	21684	432	8624.31	21975.9	66.87	67.06	13.63	61096.21	[0°,0°,0°]	[66.87x67.06x13.63]	61096.21	0.360	0.332	0.067	169.54	81.78
PartType_173.STL	173	105684	2112	25325.93	78581.25	63.99	63.99	67.46	276209.37	[0°,0°,0°]	[63.99x63.99x67.46]	276209.37	0.285	0.544	0.132	680.68	1115.30
PartType_174.STL	174	76684	1532	41370.22	193112.71	96.7	161.03	115	1790628.41	[0°,0°,0°]	[96.70x161.03x115.00]	1790628.41	0.108	0.370	0.210	328.20	116.29
PartType_175.STL	175	11684	232	19072.26	92280.74	104.13	47.23	26.3	129345.36	[0°,0°,0°]	[104.13x47.23x26.30]	129345.36	0.713	0.627	0.186	47.95	100.80
PartType_176.STL	176	7584	150	22530	104039.86	81.88	97.21	52.03	414098.99	[0°,0°,0°]	[81.88x97.21x52.03]	414098.99	0.251	0.437	0.169	32.48	112.27
PartType_177.STL	177	130984	2618	37460.3	117602.98	42.12	42.87	184.19	332628.91	[0°,0°,0°]	[42.12x42.87x184.19]	332628.91	0.354	0.650	0.097	833.92	234.92
PartType_178.STL	178	354884	7096	24269.92	64779.92	59.25	59.57	150.78	532205.3	[0°,0°,0°]	[59.25x59.57x150.78]	532205.3	0.122	0.516	0.143	2658.53	1858.46
PartType_179.STL	179	589884	11796	98793.84	277245.15	159.73	79.98	66.5	849532.64	[0°,0°,0°]	[159.73x79.98x66.50]	849532.64	0.326	0.194	0.099	4203.40	4154.61
PartType_180.STL	180	11884	236	38448.67	188032.66	92.64	115.21	72.79	776876.82	[0°,0°,0°]	[92.64x115.21x72.79]	776876.82	0.242	0.477	0.206	48.26	226.91
PartType_181.STL	181	19184	382	53570.17	351787.24	147.98	114.92	78.35	1332395.21	[0°,0°,0°]	[147.98x114.92x78.35]	1332395.21	0.264	0.306	0.102	58.17	136.01
PartType_182.STL	182	25184	502	7871.77	13350.32	60.31	47.43	9.66	27625.31	[0°,0°,0°]	[60.31x47.43x9.66]	27625.31	0.483	0.457	0.208	296.00	120.21
PartType_183.STL	183	25184	502	7871.77	13350.32	60.31	47.43	9.66	27625.31	[0°,0°,0°]	[60.31x47.43x9.66]	27625.31	0.483	0.440	0.201	296.00	114.89
PartType_184.STL	184	159884	3196	63758.18	142467.74	117.56	78.33	81.62	751604.95	[0°,0°,0°]	[117.56x78.33x81.62]	751604.95	0.190	0.202	0.065	1430.30	685.41
PartType_185.STL	185	46684	932	35238.16	67202.57	108.11	73.33	57.46	455554.28	[270°,180°,270°]	[57.46x108.11x73.33]	455554.26	0.148	0.231	0.076	488.70	170.51
PartType_186.STL	186	159884	3196	63758.18	142467.74	117.56	78.33	81.62	751604.95	[0°,0°,0°]	[117.56x78.33x81.62]	751604.95	0.190	0.205	0.069	1430.30	701.90
PartType_187.STL	187	46684	932	35238.16	67202.57	108.11	73.33	57.46	455554.25	[90°,90°,270°]	[57.46x73.33x108.11]	455554.22	0.148	0.228	0.077	488.70	182.86
PartType_188.STL	188	76684	1532	13692.5	37605.81	70.8	66.5	38.62	181807.97	[65°,270°,155°]	[66.50x38.62x70.80]	181807.95	0.207	0.309	0.125	557.81	232.84
PartType_189.STL	189	237484	4748	16142.25	31152.52	106.52	43	25.59	117198.96	[0°,0°,0°]	[106.52x43.00x25.59]	117198.96	0.266	0.322	0.149	2460.26	723.30
PartType_190.STL	190	30784	614	39491.21	188368.98	172.28	146.87	15.06	381084.62	[270°,343°,180°]	[147.07x15.06x147.24]	326150.51	0.578	0.568	0.156	128.72	58.98
PartType_191.STL	191	34084	680	43357.05	213888.25	172.01	148.41	15.06	384426.78	[180°,0°,94°]	[141.02x176.53x15.06]	374902.51	0.571	0.580	0.132	137.84	75.38
PartType_192.STL	192	60384	1206	75326.6	399688.09	170.1	153.93	56.73	1485185.18	[271°,90°,89°]	[56.73x153.93x170.10]	1485185.09	0.269	0.278	0.116	227.29	163.06
PartType_193.STL	193	46984	938	49953.02	243745.47	152.47	146.19	42.99	958190.67	[-7°,270°,353°]	[42.99x146.19x152.47]	958190.59	0.254	0.374	0.113	192.23	132.08
PartType_194.STL	194	33584	670	21603.82	79930.1	89.44	63.79	44.94	256394.19	[0°,0°,0°]	[89.44x63.79x44.94]	256394.19	0.312	0.443	0.161	181.09	203.03
PartType_195.STL	195	44784	894	38623.14	177829.93	136.1	155.27	23.38	494051.51	[0°,0°,0°]	[136.10x155.27x23.38]	494051.51	0.360	0.436	0.113	194.17	84.07
PartType_196.STL	196	170484	3408	24565.18	107335.19	52.5	115.41	32.57	197302.95	[0°,0°,0°]	[52.50x115.41x32.57]	197302.95	0.544	0.541	0.071	779.97	430.11
PartType_197.STL	197	510584	10210	37213.55	131413.01	59.57	59.25	150.14	529938.42	[0°,0°,0°]	[59.57x59.25x150.14]	529938.42	0.248	0.450	0.161	2891.27	4110.58
PartType_198.STL	198	60384	1206	75326.6	399688.13	153.93	170.1	56.73	1485185.26	[0°,0°,0°]	[153.93x170.10x56.73]	1485185.26	0.269	0.275	0.115	227.29	164.30
PartType_199.STL	199	9684	192	24961.76	89886.04	115.63	112.36	11.23	145962.09	[0°,0°,0°]	[115.63x112.36x11.23]	145962.09	0.616	0.420	0.111	53.32	98.07
PartType_200.STL	200	87684	1752	42140.47	166480.58	104.21	104.51	68.55	746520.84	[0°,0°,0°]	[104.21x104.51x68.55]	746520.84	0.223	0.268	0.091	443.48	447.78
PartType_201.STL	201	46984	938	49953.03	243745.46	152.47	146.19	42.99	958190.83	[0°,0°,0°]	[152.47x146.19x42.99]	958190.83	0.254	0.372	0.112	192.23	129.87
PartType_202.STL	202	16384	326	4789.84	9933.04	30.09	76.94	7.24	16762.39	[0°,0°,0°]	[30.09x76.94x7.24]	16762.39	0.593	0.554	0.078	157.20	16.98
PartType_203.STL	203	33584	670	21603.82	79930.1	89.44	63.79	44.94	256394.19	[0°,0°,0°]	[89.44x63.79x44.94]	256394.19	0.312	0.442	0.162	181.09	196.98
PartType_204.STL	204	44784	894	38623.14	177829.93	136.1	155.27	23.38	494051.47	[0°,0°,0°]	[136.10x155.27x23.38]	494051.47	0.360	0.442	0.115	194.17	88.21
PartType_205.STL	205	175584	3510	16517.48	58637.63	59.9	60.23	87.6	316058.68	[0°,0°,0°]	[59.90x60.23x87.60]	316058.68	0.186	0.364	0.115	988.72	461.42
PartType_206.STL	206	18884	376	41173.92	151185.12	124.24	159.25	11.34	224279.21	[80°,270°,80°]	[11.34x159.25x124.24]	224279.17	0.674	0.301	0.065	102.40	58.51
PartType_207.STL	207	41984	838	36733.18	101815.55	131.9	80.24	46.1	487931.84	[0°,0°,0°]	[131.90x80.24x46.10]	487931.84	0.209	0.311	0.115	302.33	89.83
PartType_208.STL	208	548284	10964	44772.38	259087.45	136.51	136.51	24.16	450160.14	[0°,0°,0°]	[136.51x136.51x24.16]	450160.14	0.576	0.738	0.136	1894.67	4579.16
PartType_209.STL	209	693184	13862	48486.84	287543.21	136.51	136.51	37.77	703919.66	[0°,0°,0°]	[136.51x136.51x37.77]	703919.66	0.409	0.710	0.168	2337.47	7383.62
PartType_210.STL	210	548284	10964	44772.38	259087.45	136.51	136.51	24.16	450160.16	[0°,0°,0°]	[136.51x136.51x24.16]	450160.16	0.576	0.726	0.138	1894.67	4695.42
PartType_211.STL	211	693284	13864	48483.72	287467.09	136.52	136.52	37.77	704012.71	[0°,0°,0°]	[136.52x136.52x37.77]	704012.71	0.408	0.698	0.169	2338.28	7330.23
PartType_212.STL	212	428384	8566	47451.3	206025.16	136.5	136.5	45.73	852071	[0°,0°,0°]	[136.50x136.50x45.73]	852071	0.242	0.361	0.079	1972.90	2610.93
PartType_213.STL	213	428384	8566	47451.3	206025.17	136.5	136.5	45.73	852071.05	[0°,0°,0°]	[136.50x136.50x45.73]	852071.05	0.242	0.355	0.073	1972.90	2588.77
PartType_214.STL	214	292084	5840	24962.27	191890.51	79.31	79.22	57.28	359885.38	[84°,270°,264°]	[57.28x79.22x79.31]	359885.37	0.533	0.776	0.128	759.70	2060.84
PartType_215.STL	215	93684	1872	5148.35	5494.78	79.31	79.22	4.18	26287.79	[0°,0°,0°]	[79.31x79.22x4.18]	26287.79	0.209	0.231	0.036	1753.98	105.29
PartType_216.STL	216	112484	2248	78774.57	303076.66	180.97	178.87	81.96	2652926.48	[270°,131°,270°]	[81.96x224.46x114.32]	2102902.76	0.144	0.300	0.109	584.29	311.78
PartType_217.STL	217	137784	2754	93954.49	299069.13	184.98	162.56	85.91	2583343.86	[180°,180°,118°]	[111.53x221.63x85.91]	2123632.94	0.141	0.278	0.091	865.19	446.85
PartType_218.STL	218	137784	2754	93954.49	299069.32	178.99	171.44	85.91	2636269.05	[90°,141°,180°]	[213.07x85.91x129.37]	2368167.54	0.126	0.221	0.073	865.19	433.26
PartType_219.STL	219	73484	1468	23476.28	111385.59	110.24	110.54	20.53	250112.56	[0°,0°,0°]	[110.24x110.54x20.53]	250112.56	0.445	0.824	0.145	309.40	237.57
PartType_220.STL	220	966384	19326	19131.91	21604.32	102.18	102.18	3.08	32158.83	[180°,180°,194°]	[102.16x102.16x3.08]	32146.03	0.672	1.000	0.000	17114.32	13821.06
PartType_221.STL	221	87884	1756	45070.18	137774.65	167.54	167.26	27.77	778246.83	[270°,217°,90°]	[27.77x113.21x212.54]	668248.64	0.206	0.207	0.052	574.44	118.19
PartType_222.STL	222	81284	1624	62006.48	462988.24	169.78	146	27.24	675216.67	[22°,90°,68°]	[146.00x27.24x169.78]	675216.6	0.686	0.652	0.148	217.50	245.85
PartType_223.STL	223	81384	1626	63138.28	478132.33	180.97	146	27.24	719821.67	[270°,180°,0°]	[180.97x27.24x146.00]	719821.6	0.664	0.684	0.133	214.72	207.75
PartType_224.STL	224	100984	2018	65890.86	451224	188.79	125.54	94.32	2235303.36	[0°,0°,0°]	[188.79x125.54x94.32]	2235303.36	0.202	0.506	0.177	294.68	213.59
PartType_225.STL	225	100884	2016	64771.57	436131.41	177.57	125.54	94.31	2102408.43	[90°,347°,270°]	[94.31x191.93x111.33]	2015234.98	0.216	0.512	0.176	299.40	247.42
PartType_226.STL	226	72884	1456	42296.43	253389.14	97.6	82.18	75.41	604824.13	[94°,90°,86°]	[75.41x82.18x97.60]	604824.12	0.419	0.327	0.083	243.04	652.48
PartType_227.STL	227	96084	1920	36132.34	116651.39	118.6	118.6	27.33	384352.36	[0°,0°,0°]	[118.60x118.60x27.33]	384352.36	0.304	0.193	0.048	594.71	205.16
PartType_228.STL	228	87684	1752	98753.29	547914.12	141.07	140.67	137.08	2720265.55	[0°,0°,0°]	[141.07x140.67x137.08]	2720265.55	0.201	0.264	0.096	315.77	718.46
PartType_229.STL	229	149984	2998	44090.07	247999.79	169.06	114.64	35.05	679347.53	[0°,0°,0°]	[169.06x114.64x35.05]	679347.53	0.365	0.596	0.180	532.99	310.04
PartType_230.STL	230	149984	2998	44090.07	247999.8	169.06	114.64	35.05	679347.56	[0°,0°,0°]	[169.06x114.64x35.05]	679347.56	0.365	0.613	0.174	532.99	307.11
PartType_231.STL	231	33984	678	59076.08	291070.03	170.28	167.91	37.89	1083411.25	[0°,0°,0°]	[170.28x167.91x37.89]	1083411.25	0.269	0.285	0.107	137.61	94.30
PartType_232.STL	232	33984	678	59049.51	290904.12	170.33	167.91	37.89	1083721.56	[0°,0°,0°]	[170.33x167.91x37.89]	1083721.56	0.268	0.291	0.105	137.62	93.29
PartType_233.STL	233	56384	1126	38855.63	212000.51	154.49	114.64	35.06	621002.66	[0°,0°,0°]	[154.49x114.64x35.06]	621002.66	0.341	0.600	0.196	206.37	115.41
PartType_234.STL	234	56384	1126	38855.63	212000.52	154.49	114.64	35.06	621002.69	[180°,180°,180°]	[154.49x114.64x35.06]	621002.66	0.341	0.617	0.193	206.37	120.48
PartType_235.STL	235	86184	1722	61478.61	314002.01	178.39	167.91	24.99	748453.85	[0°,0°,0°]	[178.39x167.91x24.99]	748453.85	0.420	0.379	0.109	337.15	163.66
PartType_236.STL	236	1651484	33028	22466.21	164356.44	148.29	74.58	50.63	560018.87	[85°,165°,93°]	[53.89x157.04x63.49]	537349.92	0.306	0.894	0.119	4514.66	31589.05
PartType_237.STL	237	1651484	33028	22466.21	164356.44	148.29	74.58	50.63	560018.87	[307°,162°,270°]	[53.33x151.56x67.80]	547949.17	0.300	0.888	0.121	4514.66	32358.00
PartType_238.STL	238	90884	1816	35485.75	139945.38	145.24	121.29	15.13	266428.24	[0°,0°,0°]	[145.24x121.29x15.13]	266428.24	0.525	0.349	0.083	460.48	152.25
PartType_239.STL	239	109384	2186	10932.3	28628.5	76.12	83.05	11.12	70326.76	[90°,33°,90°]	[11.12x67.49x77.38]	58090.98	0.493	0.393	0.136	834.76	189.28
PartType_240.STL	240	150284	3004	54364.14	366284.76	133.2	133.19	82.39	1461773.02	[0°,0°,0°]	[133.20x133.19x82.39]	1461773.02	0.251	0.454	0.150	445.85	582.60
PartType_241.STL	241	111684	2232	54415.08	403225.96	133.2	133.2	72.96	1294330.63	[0°,0°,0°]	[133.20x133.20x72.96]	1294330.63	0.312	0.466	0.151	301.21	481.32
PartType_242.STL	242	39784	794	49361.2	218594.84	120.69	106.96	100.13	1292623.15	[0°,0°,0°]	[120.69x106.96x100.13]	1292623.15	0.169	0.334	0.104	179.29	255.77
PartType_243.STL	243	1309884	26196	63279.51	243002.83	80.71	156.91	164.5	2083284.97	[162°,94°,107°]	[157.15x167.09x76.09]	1998086.51	0.122	0.267	0.077	6821.61	33681.42
PartType_244.STL	244	1309884	26196	63279.54	243002.87	80.71	156.91	164.5	2083284.97	[337°,94°,112°]	[157.22x167.03x76.36]	2005329.87	0.121	0.261	0.074	6821.61	31389.50
PartType_245.STL	245	121284	2424	81714.58	244650.93	131.9	173.66	51.53	1180376.17	[0°,0°,0°]	[131.90x173.66x51.53]	1180376.17	0.207	0.166	0.054	809.63	214.73
PartType_246.STL	246	6484	128	19988.58	75396.02	114.94	91.24	11.23	117814.47	[0°,0°,0°]	[114.94x91.24x11.23]	117814.47	0.640	0.599	0.188	33.93	71.83
PartType_247.STL	247	21884	436	40767.72	186068.22	170.31	149.61	15.08	384190.73	[0°,270°,270°]	[149.61x15.08x170.31]	384190.71	0.484	0.419	0.096	95.53	50.53
PartType_248.STL	248	18484	368	42165.08	205010.43	170.31	147.53	15.09	379188.09	[270°,295°,270°]	[15.09x153.44x160.85]	372465.87	0.550	0.502	0.125	75.69	59.73
PartType_249.STL	249	14384	286	32226.01	154776.3	118.48	160.57	15.07	286728.68	[0°,0°,0°]	[118.48x160.57x15.07]	286728.68	0.540	0.621	0.124	59.55	49.30
PartType_250.STL	250	13084	260	28797.62	133535.29	118.58	160.57	15.06	286761.6	[0°,0°,0°]	[118.58x160.57x15.06]	286761.6	0.466	0.590	0.150	56.07	36.96
PartType_251.STL	251	13084	260	28150.07	128662.66	108.42	160.57	15.06	262175.58	[0°,0°,0°]	[108.42x160.57x15.06]	262175.58	0.491	0.593	0.157	56.89	35.13
PartType_252.STL	252	14384	286	30967.1	145280.77	108.42	160.57	15.06	262203.52	[101°,90°,349°]	[160.57x15.06x108.42]	262203.49	0.554	0.603	0.134	60.96	43.79
PartType_253.STL	253	16484	328	36610.22	179156.21	118.48	160.57	15.06	286538.23	[0°,0°,0°]	[118.48x160.57x15.06]	286538.23	0.625	0.615	0.118	67.03	67.79
PartType_254.STL	254	16484	328	34703.52	164777.12	160.57	108.42	15.06	262203.53	[0°,0°,0°]	[160.57x108.42x15.06]	262203.53	0.628	0.607	0.123	69.08	61.21
PartType_255.STL	255	10084	200	31989.89	114165.12	182.98	115.06	11.23	236522.99	[0°,0°,0°]	[182.98x115.06x11.23]	236522.99	0.483	0.387	0.123	56.04	17.87
PartType_256.STL	256	10884	216	25646	84692.13	115.39	148.5	11.23	192497.93	[0°,0°,0°]	[115.39x148.50x11.23]	192497.93	0.440	0.371	0.122	65.41	26.91
PartType_257.STL	257	15884	316	59125.32	296034.42	167.58	185.12	15.06	467249.13	[0°,0°,0°]	[167.58x185.12x15.06]	467249.13	0.634	0.417	0.083	63.11	73.40
PartType_258.STL	258	12884	256	30362.79	114510.18	167.58	96.74	15.06	244161	[89°,270°,179°]	[96.74x15.06x167.58]	244160.99	0.469	0.308	0.117	67.88	20.89
PartType_259.STL	259	27484	548	58229.82	275099.14	172.09	170.21	15.05	440904.55	[0°,0°,0°]	[172.09x170.21x15.05]	440904.55	0.624	0.387	0.087	115.99	104.92
PartType_260.STL	260	22884	456	44133.58	193633.61	160.26	159.11	15.05	383830.84	[0°,0°,0°]	[160.26x159.11x15.05]	383830.84	0.505	0.364	0.110	103.93	75.17
PartType_261.STL	261	41984	838	36733.18	101815.55	131.9	80.24	46.1	487931.84	[0°,0°,0°]	[131.90x80.24x46.10]	487931.84	0.209	0.311	0.115	302.33	88.13
PartType_262.STL	262	16684	332	39022.08	187488.65	166.34	100.49	15.06	251762.3	[0°,0°,0°]	[166.34x100.49x15.06]	251762.3	0.745	0.581	0.135	69.10	60.10
PartType_263.STL	263	12484	248	35284.67	135555.11	114.94	162.85	11.33	212144.82	[0°,0°,0°]	[114.94x162.85x11.33]	212144.82	0.639	0.481	0.118	64.55	46.65
PartType_264.STL	264	85684	1712	49269.75	286113.06	153.4	102.72	22.96	361735.92	[0°,0°,0°]	[153.40x102.72x22.96]	361735.92	0.791	0.631	0.210	294.81	198.13
PartType_265.STL	265	132084	2640	6228.82	4836.24	80.16	12.36	19.2	19022.94	[180°,180°,90°]	[12.36x80.16x19.20]	19022.94	0.254	0.428	0.239	3400.18	188.89
PartType_266.STL	266	255184	5102	77236.36	253789	80	80	80	511999.98	[0°,0°,0°]	[80.00x80.00x80.00]	511999.98	0.496	0.962	0.046	732.64	4111.90
PartType_267.STL	267	97484	1948	18827.5	874.64	92.67	113.23	6.86	72012.06	[0°,0°,0°]	[92.67x113.23x6.86]	72012.06	0.012	0.199	0.103	41932.88	118.97
PartType_268.STL	268	8884	176	3555.46	5628.94	39.42	36.56	11.25	16214.2	[90°,71°,90°]	[11.25x35.50x37.79]	15095.61	0.373	0.385	0.165	111.17	151.14
PartType_269.STL	269	1037734	20753	88887.62	669753.42	105	135	135	1913624.92	[0°,0°,0°]	[105.00x135.00x135.00]	1913624.92	0.350	0.408	0.156	2754.27	12157.27
PartType_270.STL	270	7884	156	33993.99	169955.46	65.91	88.58	35.43	206861.31	[0°,0°,0°]	[65.91x88.58x35.43]	206861.31	0.822	0.437	0.238	31.20	470.33
PartType_271.STL	271	28884	576	7136.25	10127.62	46.5	60	6	16740	[0°,0°,0°]	[46.50x60.00x6.00]	16740	0.605	0.462	0.165	405.87	115.59
PartType_272.STL	272	886784	17734	111393.29	146389.63	122.47	122.48	87.5	1312517.12	[138°,69°,47°]	[105.03x103.05x113.27]	1225988.6	0.119	0.121	0.063	13494.46	12305.16
PartType_273.STL	273	382484	7648	97853.3	727372	174.75	118.11	175.73	3626853.19	[270°,0°,181°]	[173.92x176.05x118.11]	3616290.14	0.201	0.324	0.147	1028.88	2522.00
PartType_274.STL	274	185584	3710	49384.04	154206.04	65.91	88.58	35.43	206861.34	[180°,180°,180°]	[65.91x88.58x35.43]	206861.33	0.746	0.484	0.150	1188.12	1080.96
PartType_275.STL	275	199384	3986	32591.23	139738.46	65.91	88.58	35.44	206930.27	[0°,0°,0°]	[65.91x88.58x35.44]	206930.27	0.675	0.368	0.206	929.66	825.77
PartType_276.STL	276	15284	304	32417.08	67708.17	65.91	88.58	35.43	206861.33	[0°,0°,0°]	[65.91x88.58x35.43]	206861.33	0.327	0.177	0.071	145.55	171.16
PartType_277.STL	277	2281184	45622	19730.96	18884.48	82.93	69.76	31.83	184157.39	[0°,0°,0°]	[82.93x69.76x31.83]	184157.39	0.103	0.241	0.116	47666.95	63761.59
PartType_278.STL	278	26884	536	49694.66	74059.9	65.91	88.58	35.43	206861.38	[37°,270°,217°]	[35.43x88.58x65.91]	206861.37	0.358	0.238	0.103	359.66	425.36
PartType_279.STL	279	11284	224	36437.76	76426.52	65.91	88.58	35.43	206861.32	[0°,0°,0°]	[65.91x88.58x35.43]	206861.32	0.370	0.224	0.079	106.80	346.98
PartType_280.STL	280	449484	8988	14622.68	17551.76	74.98	67.54	32.76	165902.99	[0°,0°,0°]	[74.98x67.54x32.76]	165902.99	0.106	0.325	0.150	7488.06	2419.66
PartType_281.STL	281	276584	5530	13296.43	14214.83	74.98	69.7	20.68	108055.83	[0°,0°,0°]	[74.98x69.70x20.68]	108055.83	0.132	0.271	0.143	5172.71	1028.17
PartType_282.STL	282	11984	238	38709.48	86982.43	65.91	88.58	35.43	206861.36	[0°,0°,0°]	[65.91x88.58x35.43]	206861.36	0.421	0.329	0.161	105.92	326.74
PartType_283.STL	283	620084	12400	19201.79	103004.13	64.38	123.01	104.67	828951.32	[273°,350°,184°]	[65.60x100.25x118.76]	781006.92	0.132	0.542	0.234	2311.58	7105.12
PartType_284.STL	284	684484	13688	26030.78	103765.35	97.78	135.35	147.31	1949500.36	[332°,153°,282°]	[123.78x77.71x138.02]	1327700.86	0.078	0.384	0.193	3433.80	7511.70
PartType_285.STL	285	290284	5804	3925.25	11552.88	62.67	20.42	38.37	49110.07	[34°,275°,34°]	[36.87x20.46x63.92]	48211.23	0.240	0.780	0.217	1971.99	1161.38
PartType_286.STL	286	1702284	34044	3203.03	4471.23	87.66	35.7	9.5	29742.66	[1°,179°,112°]	[32.33x87.89x9.47]	26907.28	0.166	0.799	0.200	24387.94	42616.90
PartType_287.STL	287	28384	566	26046.59	128398	166.33	69.29	138.21	1592773.47	[71°,108°,122°]	[155.35x65.39x151.60]	1540004.85	0.081	0.842	0.190	114.82	57.82
PartType_288.STL	288	28384	566	2327.84	4890.75	66.46	20.79	25.49	35217.42	[205°,178°,179°]	[66.55x18.84x24.03]	30130.89	0.162	0.916	0.160	269.40	21.44
PartType_289.STL	289	28384	566	2349.55	4891.07	66.58	20.79	22.13	30626.26	[180°,74°,46°]	[18.21x18.39x68.10]	22800.29	0.215	0.896	0.175	271.89	20.96
PartType_290.STL	290	1713384	34266	31155.46	131360.73	154.24	117.82	151.15	2746770.39	[211°,45°,133°]	[161.29x91.74x121.02]	1790772.04	0.073	0.297	0.176	8127.03	54684.79
PartType_291.STL	291	2753084	55060	6502.7	4198.05	52.68	61.61	62.15	201744.81	[0°,0°,0°]	[52.68x61.61x62.15]	201744.81	0.021	0.203	0.139	85286.87	139167.42
PartType_292.STL	292	1984984	39698	14381.42	66760.98	53.17	131	89.14	620906.59	[294°,102°,155°]	[131.78x87.59x41.42]	478032.82	0.140	0.514	0.218	8551.60	53200.64
